"TIME,""GEO"",""SEX"",""ISCED11"",""AGE"",""UNIT"",""Value"""
"2008,""Belgium"",""Males"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""44,0"""
"2008,""Belgium"",""Males"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""37,1"""
"2008,""Belgium"",""Males"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""18,9"""
"2008,""Belgium"",""Females"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""34,9"""
"2008,""Belgium"",""Females"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""44,2"""
"2008,""Belgium"",""Females"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""20,9"""
"2008,""Bulgaria"",""Males"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""42,8"""
"2008,""Bulgaria"",""Males"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""50,0"""
"2008,""Bulgaria"",""Males"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""7,2"""
"2008,""Bulgaria"",""Females"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""40,7"""
"2008,""Bulgaria"",""Females"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""45,3"""
"2008,""Bulgaria"",""Females"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""14,0"""
"2008,""Czechia"",""Males"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""28,2"""
"2008,""Czechia"",""Males"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""64,6"""
"2008,""Czechia"",""Males"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""7,2"""
"2008,""Czechia"",""Females"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""28,6"""
"2008,""Czechia"",""Females"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""66,2"""
"2008,""Czechia"",""Females"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""5,1"""
"2008,""Denmark"",""Males"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""36,8"""
"2008,""Denmark"",""Males"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""39,0"""
"2008,""Denmark"",""Males"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""21,9"""
"2008,""Denmark"",""Females"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""29,1"""
"2008,""Denmark"",""Females"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""42,8"""
"2008,""Denmark"",""Females"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""23,2"""
"2008,""Germany (until 1990 former territory of the FRG)"",""Males"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""30,3"""
"2008,""Germany (until 1990 former territory of the FRG)"",""Males"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""58,3"""
"2008,""Germany (until 1990 former territory of the FRG)"",""Males"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""11,1"""
"2008,""Germany (until 1990 former territory of the FRG)"",""Females"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""28,1"""
"2008,""Germany (until 1990 former territory of the FRG)"",""Females"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""59,5"""
"2008,""Germany (until 1990 former territory of the FRG)"",""Females"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""12,1"""
"2008,""Estonia"",""Males"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""23,3"""
"2008,""Estonia"",""Males"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""62,0"""
"2008,""Estonia"",""Males"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""14,7"""
"2008,""Estonia"",""Females"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""14,6"""
"2008,""Estonia"",""Females"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""59,8"""
"2008,""Estonia"",""Females"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""25,7"""
"2008,""Ireland"",""Males"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""40,4"""
"2008,""Ireland"",""Males"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""38,6"""
"2008,""Ireland"",""Males"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""16,9"""
"2008,""Ireland"",""Females"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""20,9"""
"2008,""Ireland"",""Females"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""40,6"""
"2008,""Ireland"",""Females"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""33,4"""
"2008,""Greece"",""Males"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""38,0"""
"2008,""Greece"",""Males"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""41,0"""
"2008,""Greece"",""Males"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""21,0"""
"2008,""Greece"",""Females"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""29,0"""
"2008,""Greece"",""Females"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""48,2"""
"2008,""Greece"",""Females"",""Tertiary education (levels 5-8)"",""From 20 to 64 years"",""Percentage of unemployment"",""22,7"""
"2008,""Spain"",""Males"",""Less than primary, primary and lower secondary education (levels 0-2)"",""From 20 to 64 years"",""Percentage of unemployment"",""64,0"""
"2008,""Spain"",""Males"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""From 20 to 64 years"",""Percentage of unemployment"",""20,1"""
